identifier,name,equipment,teaching,typeAccessibility,knowsAbout,locality,same_as_wikidata_locality,province,same_as_wikidata_province,postalCode,neighborhood,same_as_wikidata_neighborhood,district,same_as_wikidata_district,latitude,longitude,telephone,faxNumber,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,same_as_wikidata_renfe,metro,same_as_wikidata_metro,streetAddress
176850,Colegio publico adolfo suarez,Comedor; horario ampliado; planes de mejora,Ensenanzas: segundo ciclo de e. infantil - primaria - educacion secundaria obligatoria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a9344b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28050,Valdefuentes,https://wikidata.org/entity/Q10388714,Hortaleza,https://wikidata.org/entity/Q1928529,444807,4482402,917 502 058 / 676 562 792,917 502 058,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,Actividades extraescolares; dias no lectivos; campamentos urbanos; talleres fin de semana,III,3,Si,Si (c/ infanta catalina micaela),,No,Si (150m2),Porterias; canastas; bancos,Alumbrado,3868;71 + 1384;25 + 4474;92,Mejorable (elementos deteriorados),,,,174,,,,,Calle infanta catalina micaela 31
4693138,Colegio publico agustin rodriguez sahagun,Horario ampliado; comedor; planes de mejora,Ensenanza: educacion infantil - primaria - ensenanza Bilingue,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=706c615f4eb66110vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28031,Casco Historico de Vallecas,https://wikidata.org/entity/Q16544370,Villa de Vallecas,https://wikidata.org/entity/Q1947988,447178,4468793,913 324 348,914 941 475,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,,II,2,Si,Si (c/ granja de san ildefonso),Av. villa de vallecas (directo a canchas),Si,Porches; arbolado,Porterias; canastas; columpios; bancos; ping pong; rocodromo; huerto.,Alumbrado; fuente,5748;56,Bueno,Parque mundaire (450m); parque de las cataratas (550m); parque mundaire (650m),Orichas stadium (300m); instalacion deportiva miguel guillen (900m),,142,,,,,Calle la granja de san ildefonso 17
5075,Colegio publico agustina diez,Comedor; horario ampliado,Ensenanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=dd68a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28038,Portazgo,https://wikidata.org/entity/Q18005921,Puente de Vallecas,https://wikidata.org/entity/Q2003054,445067,4471046,917 770 073,917 770 073,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades extraescolares 16:00-17:00 ; ""quedamos al salir del cole"" 16:00-20:00",,III,2,Si,No,No,Si,No,Porterias,Alumbrado,1111;43,Aceptable,Parque de la constitucion (200m); parque azorin (600m),Biblioteca miguel hernandez (750m),,54 ; 58 ; 103 ; 143,,,Alto del Arenal,https://wikidata.org/entity/Q2479465,Calle vesubio 5
5076,Colegio publico alberto alcocer,Comedor; transporte; horario ampliado; planes de mejora,Ensenanza: educacion infantil - primaria - ensenanza Bilingue,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=2388a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28022,Hellin,https://wikidata.org/entity/Q10294546,San Blas,https://wikidata.org/entity/Q2001937,448087,4476035,913 202 609,913 200 446,,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,,III,2,Si,Si,Principal del centro,No,Porche pequeno,Porterias; canastas,No,5036;74822,Bueno,Parque paraiso,,,38 ; 48 ; 140; 153,,,Las Musas,https://wikidata.org/entity/Q2482052,Avenida canillejas a vicalvaro 56
5077,Colegio publico alcalde de mostoles,Transporte; comedor; horario ampliado; planes de mejora,Ensenanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7898a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28044,Las Aguilas,https://wikidata.org/entity/Q5971372,Latina,https://wikidata.org/entity/Q794954,434091,4470207,917 055 465,915 095 129,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,,III,2,Si,Si,,No,Techado en infantil,Canastas; porterias; columpio,No,2186;118,,,,,34 ; 39 ; 139 ; 117 ; 17,,,,,Calle aldeanueva de la vera 9
5078,Colegio publico alfonso x el sabio,Comedor; transporte; horario ampliado; planes de mejora,Ensenanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=cda8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28032,Casco Historico de Vicalvaro,https://wikidata.org/entity/Q16544374,Vicalvaro,https://wikidata.org/entity/Q589403,448774,4472685,913 719 661,917 765 962,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Cruz roja 16:00-20:30,III,2,Si,Si (a patio infantil),Acceso directo a patio infantil,No,No,Porterias (primaria); columpios,No,573;92,Bueno,Parque san cipriano (300m),Biblioteca vicalvaro (600m); centro cultural el madrono (600m); cdm margot moles (850m),,4; 71; 100; 106; e-3,,,San Cipriano,https://wikidata.org/entity/Q2479793,Calle fuente de san pedro 6
10770379,Colegio publico alfredo di stefano,,Ensenanza: educacion infantil - primaria - ensenanza Bilingue,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=32c2f9dd06e95610vgnvcm1000001d4a900arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28022,Hellin,https://wikidata.org/entity/Q10294546,Hortaleza,https://wikidata.org/entity/Q1928529,448087,4476035,660 906 527,,,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,,III,3,Si,Si (c/ felix candela),,No,Porche; pergola; arbolado,Porterias; canastas; columpios; bancos,Fuentes,,Bueno,,,,171; 174,,,,,Calle felix candela 4
5079,Colegio publico alhambra,Comedor; transporte; horario ampliado; planes de mejora,Ensenanza: educacion infantil - primaria - ensenanza Bilingue,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=13c8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28035,Penagrande,https://wikidata.org/entity/Q3319582,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,438407,4481677,913 162 273,913 737 021,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,Talleres 'patios abiertos' sabados 10:00-14:00,III,3,Si,Si (c/ ramon gomez de la serna),,No,Si (300m2); arbolado,Canastas; porterias; juegos; bancos; papeleras,Fuentes,3042;48,Mejorable (actualmente realizando obras),,,Participa actualmente de 'patios abiertos',49 ; 67 ; 82,,,Lacoma,https://wikidata.org/entity/Q2482146,Calle ramon gomez de la serna 103
4690849,Colegio publico alvaro de bazan,Horario ampliado; comedor; integracion prefernete (trastornos generales del desarrollo),Ensenanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=eb583058a6166110vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28022,Rosas,https://wikidata.org/entity/Q18880469,San Blas,https://wikidata.org/entity/Q2001937,448486,4474724,917 757 114,917 757 114,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Futbol antiguos alumnos,III,4,Si,Si (c/ zurich),,No,No,Porterias; mesas de juegos,Alumbrado,2329;5797,Mejorable (deteriorado),,,Tiene patios interiores con diferentes equipamientos.,4; 106; 140; 153,,,,,Calle zurich 10
5080,Colegio publico amadeo vives,Comedor; horario ampliado; planes de mejora; integracion preferente (trastornos generales del desarrollo),Ensenanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=68d8a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,https://wikidata.org/entity/Q2807,Community of Madrid,https://wikidata.org/entity/Q5756,28047,Aluche,https://wikidata.org/entity/Q31140,Latina,https://wikidata.org/entity/Q794954,436005,4472352,917 183 389,917 199 055,,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,,III,2,Si,Si (patio infantil),,No,Si (zona de sombra con arboles),Canastas; porterias,No,3205;56,,,,Comparte espacios con una escuela infantil independiente. ,25 ; 31 ; 138,,,,,Calle los yebenes 6
